temp1,temp1,trans1,trans2
29.75,29.87,0,0
29.75,29.87,0,0
29.75,29.94,0,0
29.75,29.94,0,0
29.75,29.94,0,0
29.75,29.94,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,29.94,0,0
29.81,29.94,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.81,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.87,30.00,0,0
29.81,30.00,0,0
